Building_Project_Type,Country,Primary_Foundation_Type,Primary_Ground_Floor_Type,Primary_Vertical_Element_Type,Primary_Horizontal_Element_Type,Primary_Slab_Type,Primary_Cladding_Type,Primary_Heating_Type,Primary_Cooling_Type,Primary_Finishes_Type,Primary_Ventilation_Type,Total_Embodied_Carbon
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
